k,b_k,lambda,c_k,r_k
0,0,0,0,0
1,60,6.3,6.3,0.105
2,120,4.9,11.2,0.081666667
3,180,4.1,15.3,0.068333333
4,240,3.9,19.2,0.065
5,300,3.2,22.4,0.053333333
6,360,3.4,25.8,0.056666667
7,420,4,29.8,0.066666667
8,480,4.8,34.6,0.08
9,540,7.4,42,0.123333333
10,600,10.7,52.7,0.178333333
11,660,12.2,64.9,0.203333333
12,720,12,76.9,0.2
13,780,12,88.9,0.2
14,840,12.7,101.6,0.211666667
15,900,12.2,113.8,0.203333333
16,960,11.8,125.6,0.196666667
17,1020,10.9,136.5,0.181666667
18,1080,11.6,148.1,0.193333333
19,1140,11.8,159.9,0.196666667
20,1200,11.4,171.3,0.19
21,1260,11.1,182.4,0.185
22,1320,11.8,194.2,0.196666667
23,1380,10.9,205.1,0.181666667
24,1440,8.2,213.3,0.136666667
